Day,Weekday,날짜,종가,오픈,고가,저가,거래량,변동 %
23,Mon,1/23/23,"28,640,000","28,428,000","28,907,000","28,302,000",1.17K,0.73%
22,Sun,1/22/23,"28,432,000","28,336,000","28,703,000","27,945,000",1.42K,0.34%
21,Sat,1/21/23,"28,336,000","28,010,000","29,034,000","27,725,000",1.31K,1.13%
20,Fri,1/20/23,"28,018,000","26,218,000","28,083,000","26,090,000",1.85K,6.88%
19,Thur,1/19/23,"26,215,000","25,734,000","26,302,000","25,720,000",0.94K,1.84%
18,Wed,1/18/23,"25,742,000","26,255,000","26,785,000","25,499,000",2.18K,-1.96%
17,Tue,1/17/23,"26,256,000","26,375,000","26,634,000","26,023,000",0.94K,-0.44%
16,Mon,1/16/23,"26,373,000","25,871,000","26,608,000","25,645,000",1.31K,1.92%
15,Sun,1/15/23,"25,876,000","25,913,000","26,009,000","25,450,000",1.15K,-0.14%
14,Sat,1/14/23,"25,913,000","24,831,000","26,194,000","24,795,000",0.95K,4.36%
13,Fri,1/13/23,"24,830,000","23,576,000","24,891,000","23,395,000",1.73K,5.30%
12,Thur,1/12/23,"23,580,000","22,480,000","23,900,000","22,415,000",1.44K,4.92%
11,Wed,1/11/23,"22,474,000","21,927,000","22,500,000","21,849,000",1.01K,2.49%
10,Tue,1/10/23,"21,929,000","21,661,000","21,967,000","21,574,000",0.76K,1.26%
9,Mon,1/9/23,"21,657,000","21,712,000","21,854,000","21,638,000",1.06K,-0.24%
8,Sun,1/8/23,"21,710,000","21,561,000","21,720,000","21,514,000",0.81K,0.69%
7,Sat,1/7/23,"21,561,000","21,505,000","21,576,000","21,485,000",0.60K,0.26%
6,Fri,1/6/23,"21,505,000","21,570,000","21,599,000","21,263,000",0.82K,-0.30%
5,Thur,1/5/23,"21,570,000","21,584,000","21,631,000","21,423,000",0.64K,-0.06%
4,Wed,1/4/23,"21,583,000","21,355,000","21,727,000","21,354,000",0.84K,1.07%
3,Tue,1/3/23,"21,355,000","21,195,000","21,444,000","21,175,000",0.70K,0.75%
2,Mon,1/2/23,"21,195,000","21,124,000","21,381,000","21,079,000",0.66K,0.33%
1,Sun,1/1/23,"21,126,000","21,075,000","21,169,000","21,022,000",0.54K,0.23%